cell_id,cycle_index,ambient_temperature,capacity,soh,v_start,v_end,v_min,v_mean,v_std,i_mean,t_start,t_max,t_mean,t_rise,discharge_duration,energy_discharged,source_filename,eol_threshold,eol_cycle,rul_true,capacity_diff,is_regeneration,degradation_rate
B0033,1,24.0,0.06842572240601812,3.421286120300906,3.6772190710694983,3.48091434671316,1.9848598462488805,3.3726641134399764,0.30554226141472085,0.4034416797376566,23.71213044249532,34.973341925251844,29.26541655615828,11.261211482756526,1819.406,0.5002361477865859,02413.csv,1.4,1,0,0.0,0,0.2506903197482469
B0033,2,24.0,0.6895699007862814,34.47849503931407,4.191105953862248,3.894438574944198,1.9816234331870684,3.7179953044661613,0.35099880316465176,0.8109896089354056,25.173023588997943,47.876225604831575,32.82332257180906,22.703202015833632,3260.531,2.1891413757243665,02417.csv,1.4,1,0,0.6211441783802634,1,0.2506903197482469
B0033,3,24.0,1.1610848192311252,58.05424096155626,4.19762922160552,3.7856150559017863,1.287217552704193,3.5247388250090337,0.384754284553718,1.3467412084687513,24.990552328208512,53.521374145800095,35.79329539654299,28.530821817591583,3265.75,3.625664968510539,02419.csv,1.4,1,0,0.4715149184448437,1,0.2506903197482469
B0033,4,24.0,1.2529393053824995,62.646965269124976,4.199816411135521,3.7717892258800743,1.92499373482904,3.489168398195939,0.3812725175512178,1.466589518835069,24.562094493577533,53.59969491765948,36.38266836733648,29.037600424081944,3264.109,3.926207184874662,02421.csv,1.4,1,0,0.09185448615137437,1,0.2506903197482469
B0033,5,24.0,1.302918002447558,65.1459001223779,4.200502744821276,3.7649006171476658,1.9480187400221975,3.4703882503796533,0.3838108543665505,1.52849569128654,24.347489953328967,53.81770081109488,36.45901475182768,29.470210857765913,3253.531,4.069475011813136,02423.csv,1.4,1,0,0.04997869706505842,1,0.2506903197482469
B0033,6,24.0,1.3218773211472525,66.09386605736263,4.200743805234223,3.7587123583317448,1.891347070952385,3.453967625388434,0.3902042145894823,1.5665897465455083,23.833054464449923,53.57104302015468,36.279780573622936,29.73798855570476,3242.578,4.139898825168494,02425.csv,1.4,1,0,0.018959318699694583,1,0.2506903197482469
B0033,7,24.0,1.2884694418301417,64.42347209150708,4.197576934147749,3.76499805749274,1.1932458808760276,3.4578247593455274,0.40840579135978244,1.5273274440312101,23.856457477620665,54.60856796915766,36.16552578493363,30.752110491536996,3234.625,4.013561325109365,02429.csv,1.4,1,0,-0.03340787931711087,0,0.11977990820877205
B0033,8,24.0,1.713169326386719,85.65846631933594,4.20050246544483,3.560849362055559,1.91705151743623,3.209334990541558,0.3341320666254831,2.0813949666832583,23.81975619961105,54.191463730088664,39.93652051985124,30.371707530477615,3235.36,5.409963448493388,02431.csv,1.4,1,0,0.42469988455657726,1,0.11041690143111875
B0033,9,24.0,1.6560966776720512,82.80483388360256,4.199260915072752,3.6233254829454378,1.9084502918482384,3.2871463464425337,0.34149551344742857,2.031978773251064,23.834882721167357,52.934331210631875,38.25328053802186,29.099448489464518,3236.125,5.404495761228732,02433.csv,1.4,1,0,-0.05707264871466777,0,0.08063147445791033
B0033,10,24.0,1.6197297341990775,80.98648670995388,4.200453230054564,3.651471221971837,1.9529802665635712,3.3197461384202485,0.34663808114741457,2.007363901844162,23.790077881473504,52.5032036116964,37.62899446299115,28.713125730222895,3230.25,5.373345388678992,02435.csv,1.4,1,0,-0.036366943472973645,0,0.06336234635030391
