cell_id,cycle_index,raw_cycle_idx,ambient_temperature,capacity,soh,v_start,v_end,v_min,v_mean,v_std,i_mean,t_start,t_max,t_mean,t_rise,discharge_duration,energy_discharged,eol_threshold,eol_cycle,rul_true,capacity_diff,is_regeneration,degradation_rate
B0026,1,4,24.0,1.8132504303869899,90.6625215193495,4.185453870728775,3.3226569002740027,1.98069037313681,3.404890220315493,0.2669668516674607,1.049714799396727,26.419339530533897,40.711455499237935,32.764485625071856,14.292115968704039,6515.422000000006,6.142136971689416,1.4,6,5,0.0,0,-0.08538261758879546
B0026,2,6,24.0,1.8149760087078302,90.7488004353915,4.191986600147927,3.344948612326286,1.9296821070764223,3.418631404129339,0.26289196776483414,1.05032568804846,26.345820643464833,40.56984371986605,32.560591865941106,14.224023076401217,6516.219,6.160744990405082,1.4,6,4,0.0017255783208403042,0,-0.08538261758879546
B0026,3,8,24.0,1.8135354175561993,90.67677087780996,4.19141376026019,3.388101955667073,2.169258771295841,3.4453022579697716,0.246039741687949,1.0475510378692992,26.85570584198223,40.420735413096146,32.70948277164228,13.565029571113918,6489.5,6.140518116960434,1.4,6,3,-0.0014405911516308656,0,-0.08538261758879546
B0026,4,10,24.0,1.815149273310334,90.7574636655167,4.188413709802578,3.3635099671869173,1.898741105703338,3.4281919482774947,0.25990886047812817,1.0512603734193369,26.73411994275517,40.839359753382105,32.89402601565415,14.105239810626934,6471.25,6.135006925204741,1.4,6,2,0.001613855754134752,0,-0.08538261758879546
B0026,5,12,24.0,1.8142913014068198,90.714565070341,4.191378962576998,3.3723716769314045,1.9095478812878097,3.433945869545595,0.2573070459710433,1.051392872905392,26.677766339277238,40.762597974826,32.88851048708752,14.084831635548763,6466.672,6.13969254852103,1.4,6,1,-0.0008579719035142208,0,-0.08538261758879546
B0026,6,16,24.0,1.3863373424430125,69.31686712215063,3.9865474622465253,3.242697887336069,2.0442560844271522,3.2986715430208906,0.23187895933177424,0.8178908015954496,26.291478776950758,39.78739652537364,31.60887613480477,13.49591774842288,6410.672,4.61726328604593,1.4,6,0,-0.4279539589638073,0,-0.08538261758879546
B0026,7,20,24.0,1.8165277958816064,90.82638979408031,4.1842030048921135,3.3013286895325744,1.8584184081271529,3.395711592779412,0.275888205168666,1.0513832785690405,26.458131735942853,40.12859054534907,32.4909596779559,13.670458809406217,6474.156,6.151649230767238,1.4,6,0,0.43019045343859386,1,0.00031035743475524844
B0026,8,23,24.0,1.8085638576011063,90.42819288005532,4.189253474215399,3.350202080919962,1.9288388497995346,3.4209107644287986,0.262287793561101,1.0491412500799762,26.492780853310034,40.39287009990307,32.63416073863936,13.900089246593037,6460.75,6.137295377912689,1.4,6,0,-0.007963938280500127,0,-0.0009943119910186039
B0026,9,25,24.0,1.804936077644182,90.24680388220911,4.190283088382904,3.3608261191641824,1.935441772448038,3.4290052342029878,0.2580620036365273,1.0492745282143645,26.431871222136834,40.37811271633581,32.646683898798194,13.946241494198972,6448.907,6.128972530707358,1.4,6,0,-0.003627779956924204,0,-0.002042639133230395
B0026,10,27,24.0,1.8049315924982108,90.24657962491054,4.188068725985081,3.384121792249783,2.0842440571468894,3.4422746572295977,0.24805439032853877,1.0431023777984292,26.668129241717903,40.6345527951007,32.95341147758712,13.9664235533828,6447.125,6.0988491403261555,1.4,6,0,-4.485145971289128e-06,0,-0.0018719417817218086
